Código Departamento,Código Municipio,Código Centro Poblado,Nombre Departamento,Nombre Municipio,Nombre Centro Poblado,Tipo Centro Poblado,Longitude,Unnamed: 8,Latitude,Distrito,Tipo de Municipio,Area Metropolitana
5,5001,5001000,ANTIOQUIA,MEDELLÍN,MEDELLÍN,CABECERA MUNICIPAL (CM),-75.5760017134,,6.24858636743,,MUNICIPIO,AREA METROPOLITANA DEL VALLE DE ABURRÁ
5,5001,5001001,ANTIOQUIA,MEDELLÍN,PALMITAS,CABECERA CORREGIMIENTO MUNICIPAL (C),-75.6899859872,,6.3439224059,,MUNICIPIO,AREA METROPOLITANA DEL VALLE DE ABURRÁ
5,5001,5001004,ANTIOQUIA,MEDELLÍN,SANTA ELENA,CABECERA CORREGIMIENTO MUNICIPAL (C),-75.5003166982,,6.20967456778,,MUNICIPIO,AREA METROPOLITANA DEL VALLE DE ABURRÁ
5,5001,5001009,ANTIOQUIA,MEDELLÍN,ALTAVISTA,CABECERA CORREGIMIENTO MUNICIPAL (C),-75.6299441751,,6.22248273057,,MUNICIPIO,AREA METROPOLITANA DEL VALLE DE ABURRÁ
5,5001,5001010,ANTIOQUIA,MEDELLÍN,AGUAS FRÍAS,CABECERA CORREGIMIENTO MUNICIPAL (C),-75.6339460169,,6.2333355874,,MUNICIPIO,AREA METROPOLITANA DEL VALLE DE ABURRÁ
5,5001,5001012,ANTIOQUIA,MEDELLÍN,LA LOMA,CENTRO POBLADO (CP),-75.6297540724,,6.26890878235,,MUNICIPIO,AREA METROPOLITANA DEL VALLE DE ABURRÁ
5,5001,5001013,ANTIOQUIA,MEDELLÍN,SAN JOSÉ DEL MANZANILLO,CENTRO POBLADO (CP),-75.61342487,,6.20581068001,,MUNICIPIO,AREA METROPOLITANA DEL VALLE DE ABURRÁ
5,5001,5001014,ANTIOQUIA,MEDELLÍN,BARRO BLANCO,CENTRO POBLADO (CP),-75.4775622151,,6.23479805798,,MUNICIPIO,AREA METROPOLITANA DEL VALLE DE ABURRÁ
5,5001,5001015,ANTIOQUIA,MEDELLÍN,EL CERRO,CENTRO POBLADO (CP),-75.489476496,,6.20035636487,,MUNICIPIO,AREA METROPOLITANA DEL VALLE DE ABURRÁ
5,5001,5001017,ANTIOQUIA,MEDELLÍN,EL PATIO,CENTRO POBLADO (CP),-75.6511004924,,6.27784108634,,MUNICIPIO,AREA METROPOLITANA DEL VALLE DE ABURRÁ
5,5001,5001018,ANTIOQUIA,MEDELLÍN,EL PLACER,CENTRO POBLADO (CP),-75.4930142589,,6.22476631163,,MUNICIPIO,AREA METROPOLITANA DEL VALLE DE ABURRÁ
5,5001,5001019,ANTIOQUIA,MEDELLÍN,EL PLAN,CENTRO POBLADO (CP),-75.5183705,,6.20435971513,,MUNICIPIO,AREA METROPOLITANA DEL VALLE DE ABURRÁ
5,5001,5001022,ANTIOQUIA,MEDELLÍN,LA ALDEA,CENTRO POBLADO (CP),-75.7035503836,,6.34243040051,,MUNICIPIO,AREA METROPOLITANA DEL VALLE DE ABURRÁ
5,5001,5001023,ANTIOQUIA,MEDELLÍN,LA CUCHILLA,CENTRO POBLADO (CP),-75.6535467831,,6.29350870315,,MUNICIPIO,AREA METROPOLITANA DEL VALLE DE ABURRÁ
5,5001,5001025,ANTIOQUIA,MEDELLÍN,LA PALMA,CENTRO POBLADO (CP),-75.6481527137,,6.27383086596,,MUNICIPIO,AREA METROPOLITANA DEL VALLE DE ABURRÁ
5,5001,5001027,ANTIOQUIA,MEDELLÍN,LAS PLAYAS,CENTRO POBLADO (CP),-75.6489995687,,6.28394357047,,MUNICIPIO,AREA METROPOLITANA DEL VALLE DE ABURRÁ
5,5001,5001029,ANTIOQUIA,MEDELLÍN,PIEDRA GORDA,CENTRO POBLADO (CP),-75.498182909,,6.23489261348,,MUNICIPIO,AREA METROPOLITANA DEL VALLE DE ABURRÁ
5,5001,5001031,ANTIOQUIA,MEDELLÍN,POTRERITO,CENTRO POBLADO (CP),-75.667907579,,6.18307451818,,MUNICIPIO,AREA METROPOLITANA DEL VALLE DE ABURRÁ
5,5001,5001032,ANTIOQUIA,MEDELLÍN,TRAVESÍAS,CENTRO POBLADO (CP),-75.6431084203,,6.28703191801,,MUNICIPIO,AREA METROPOLITANA DEL VALLE DE ABURRÁ
5,5001,5001033,ANTIOQUIA,MEDELLÍN,URQUITA,CENTRO POBLADO (CP),0.0,,0.0,,MUNICIPIO,AREA METROPOLITANA DEL VALLE DE ABURRÁ
5,5001,5001035,ANTIOQUIA,MEDELLÍN,BOQUERÓN,CENTRO POBLADO (CP),-75.6573758995,,6.31466453166,,MUNICIPIO,AREA METROPOLITANA DEL VALLE DE ABURRÁ
5,5001,5001039,ANTIOQUIA,MEDELLÍN,EL LLANO 1,CENTRO POBLADO (CP),-75.6494934186,,6.29451550368,,MUNICIPIO,AREA METROPOLITANA DEL VALLE DE ABURRÁ
5,5001,5001040,ANTIOQUIA,MEDELLÍN,EL LLANO,CENTRO POBLADO (CP),-75.5033167357,,6.19831282539,,MUNICIPIO,AREA METROPOLITANA DEL VALLE DE ABURRÁ
