Latitude,Longitude,Elevation (m),Surface Temperature (°C),Apparent Geothermal Gradient (°C/Km),Moho Depth (m),Magnetic Anomaly (nT)
4.213002,-74.893581,313.944,26.63028,14.71228115313446,42863.91200598696,-43.6825
4.216078,-74.888898,313.3344,26.633328,21.29439360657496,42855.31133151492,-43.6825
4.21472,-74.89122,316.3824,26.618088,23.783404425043347,42859.26549310717,-43.6825
0.606276,-76.564731,275.2344,26.823828,24.15632262212504,36310.81077438074,-3.9287
0.305911,-76.914853,90.5256,27.747372,25.60124487646043,37832.87961527536,-2.2424
0.287539,-76.911964,297.4848,26.712576,26.559722016738124,37704.40031324237,-2.2424
0.298083,-76.910869,286.512,26.76744,26.82559178018877,37746.39375025162,-2.2424
0.289872,-76.917192,92.6592,27.736704,26.82819925083637,37773.86840312627,-2.2424
0.310628,-76.916756,95.0976,27.724512,22.701977512318717,37880.7285697599,-2.2424
0.295367,-76.917789,310.5912,26.647044,31.068843043658934,37809.354316885154,-2.2424
0.302839,-76.919417,299.301408,26.70349296,26.554466558006094,37868.1295187518,-2.2424
0.302231,-76.918911,287.655,26.761725,26.78216157169409,37859.01664668898,-2.2424
5.830164,-74.321856,286.512,26.76744,25.40374243116612,40612.26481006529,15.0473
8.073272,-73.606028,68.8848,27.855576,19.41525407748028,37311.00059109464,23.5712
6.175794,-71.091822,137.4648,27.512676,22.40195313510232,36048.05750530145,-33.7011
4.8018083,-72.3174583,172.82,27.3359,26.71842995394917,37045.60391976388,31.0248
6.795316,-73.792668,106.68,27.6666,20.29509744122784,43330.66023297584,19.1474
6.839267,-73.791586,103.3272,27.683364,18.934880803849587,43297.33632969216,19.9342
6.815653,-73.770775,103.632,27.68184,19.6221063009226,43443.90449824176,19.2297
6.846886,-73.771642,137.16,27.5142,21.51457014166513,43392.53324994467,20.0657
6.838322,-73.779533,111.5568,27.642216,21.20995513933032,43365.51657839896,19.9342
6.847286,-73.782772,121.92,27.5904,15.730991211709798,43335.07940680839,19.9342
6.842322,-73.798156,109.728,27.65136,16.826564718528058,43255.47441597957,19.9342
7.300628,-73.520375,137.7696,27.511152,20.24844931895515,41202.53589037502,42.4511
7.292394,-73.516175,130.7592,27.546204,16.764532469693684,41252.53510172079,42.4511
6.657322,-73.670289,158.8008,27.405996,16.705740755862116,44206.77009851918,8.5264
7.291056,-73.516892,157.5816,27.412092,20.31785659031649,41255.279187302585,42.4511
7.293717,-73.510108,176.17440000000002,27.319128,19.020636728380065,41267.464564662136,42.4511
7.302775,-73.508761,140.208,27.49896,21.76254533822444,41238.9033323487,42.4511
5.0850615,-71.9523027,168.55440000000002,27.357228,26.251826380005,37730.26436677192,37.8311
3.159247,-75.266758,121.3104,27.593448,21.906620347243983,45118.59988694899,-2.4715
3.215886,-75.253092,405.9936,26.170032,22.52314476554748,45064.28996366983,-1.7549
3.235311,-75.242836,388.62,26.2569,24.49946742482734,45041.26128629819,-2.2275
0.750669,-76.367114,289.2552,26.753724,28.775129341391235,36109.28960619088,11.5527
4.8598111,-72.1859,173.43120000000002,27.332844,24.04304133114428,37007.0031926573,36.3659
5.092486,-74.585899,168.55440000000002,27.357228,37.92189426837668,43107.41662783435,17.5429
0.472889,-76.29168,238.9632,27.005184,23.935624712025987,34377.68377452775,3.3321
9.918889,-74.133734,76.8096,27.815952,9.490416323346125,38180.80891945162,1.7798
6.265939,-69.690706,96.012,27.71994,33.09477691649254,35450.43893201621,-47.7097
3.904858,-72.665992,202.692,27.18654,35.86521551608573,34815.66920157273,-93.9501
7.831394,-72.611031,526.9992,25.565004,23.39525343074912,40605.81615253688,15.2177
3.524027,-74.829854,548.3352,25.458324,19.20520167454084,46615.02409077297,-4.7771
3.048417,-75.167933,168.55440000000002,27.357228,19.27383695048816,44871.12503328381,-7.4923
3.052383,-75.169686,165.8112,27.370944,19.96149978615699,44878.77761854246,-7.4923
2.083256,-75.745417,370.9416,26.345292,20.272975048094768,44409.27371813385,-10.2205
4.757755,-74.869731,251.46,26.9427,18.04536827950325,43754.63002471939,21.7421
3.087994,-75.330806,445.0,25.975,21.36271347636199,45440.38444079866,-2.7063
4.624767,-74.868934,280.1112,26.799444,20.156508445163183,43475.52962639096,6.8331
4.620316,-74.86508,279.8064,26.800968,17.45353678502729,43426.01328715759,6.8331
4.61589,-74.869545,238.3536,27.008232,20.941789548233125,43458.9134499191,6.8331
3.729193,-75.396478,212.4456,27.137772,21.89939906764806,44163.686231572334,-24.8947
4.136439,-73.706975,1110.6912,22.646544,21.04591052661525,39030.16897930704,-114.3874
3.206406,-75.106661,175.86960000000002,27.320652,32.03673888442565,45169.19230993829,-3.2814
3.162639,-75.139394,156.6672,27.416664,29.17421697908909,45021.85674164285,-3.5156
