Basin,Well Name,BHT Depth (m),Lat,Lon,Surface Temperature (°C),Formation Temperature (°C),Apparent Geothermal Gradient (°C/Km),Distance To Nearest Volcano (m),Number of Volcanoes Nearby,Moho Depth (m)
Valle Superior del Magdalena,ABANICO-4,0.07275991340619886,4.213002,-74.893581,0.8992477535301668,0.022286648564790956,14.71228115313446,0.03423076612600891,0.14285714285714285,0.7085376440842224
Valle Superior del Magdalena,ABANICO-5,0.0679022123660172,4.216078,-74.888898,0.8994433889602054,0.060782946429061235,21.29439360657496,0.03454552849400445,0.14285714285714285,0.7085376440842224
Valle Superior del Magdalena,ABANICO-6,0.06336131791541263,4.21472,-74.89122,0.8984652118100129,0.07193199559814278,23.783404425043347,0.03437542969830097,0.14285714285714285,0.7085376440842224
Caguan-Putumayo,ACAE-1,0.4715666085854585,0.606276,-76.564731,0.9116706033376123,0.47664547827717024,24.156322622125042,0.08099284795068629,0.5714285714285714,0.440061250452529
Caguan-Putumayo,ACAE-10,0.24425788056391573,0.305911,-76.914853,0.9709481386392811,0.2793077044793704,25.60124487646043,0.09368187946142571,0.5714285714285714,0.45635541432880555
Caguan-Putumayo,ACAE-11,0.48513649083900945,0.287539,-76.911964,0.9045299101412065,0.545079902547194,26.559722016738124,0.09547665191359146,0.5714285714285714,0.45635541432880555
Caguan-Putumayo,ACAE-12,0.48645651829558056,0.298083,-76.910869,0.9080513478818999,0.5530888482810461,26.82559178018877,0.0947592739237875,0.5714285714285714,0.45635541432880555
Caguan-Putumayo,ACAE-2,0.4751042821690691,0.289872,-76.917192,0.9702634146341462,0.5475926237270565,26.82819925083637,0.0946918545297727,0.42857142857142855,0.45635541432880555
Caguan-Putumayo,ACAE-5,0.48064839748666766,0.310628,-76.916756,0.9694808729139923,0.45835796452157435,22.701977512318713,0.09299274161771649,0.5714285714285714,0.45635541432880555
Caguan-Putumayo,ACAE-7,0.17735888906489256,0.295367,-76.917789,0.9003237483953788,0.26062024234415776,31.068843043658934,0.09418138982790034,0.42857142857142855,0.45635541432880555
Caguan-Putumayo,ACAE-8,0.4811764084692962,0.302839,-76.919417,0.9039469165596918,0.5406174459343911,26.554466558006098,0.09339843444847665,0.5714285714285714,0.45635541432880555
Caguan-Putumayo,ACAE-8A,0.47932837003009665,0.302231,-76.918911,0.9076845314505775,0.5442730679287313,26.78216157169409,0.09350490801920328,0.5714285714285714,0.45635541432880555
Valle Medio del Magdalena,AGATA-1,0.19224879877501455,5.830164,-74.321856,0.9080513478818999,0.21601865797161607,25.40374243116612,0.07925619723535113,0.0,0.5403878470434242
Valle Medio del Magdalena,AGUACHICA-1,0.51132583557738,8.073272,-73.606028,0.9778931964056483,0.40767288631206394,19.415254077480277,0.37437909062302077,0.0,0.4759388812756391
Llanos Orientales,AGUALINDA-1,0.3937905908442896,6.175794,-71.091822,0.9558842105263157,0.37081809881476097,22.401953135102318,0.5297263408951283,0.0,0.438344351952471
Llanos Orientales,AGUAMARINA-1,0.5176619673689212,4.8018083,-72.3174583,0.9445378690629012,0.5885007034367598,26.71842995394917,0.373347109025912,0.0,0.4596705931530567
Valle Medio del Magdalena,AGUAS BLANCAS-1,0.5049897037858387,6.795316,-73.792668,0.9657637997432604,0.4225091404092847,20.29509744122784,0.21493988053652857,0.0,0.76041266348205
Valle Medio del Magdalena,AGUAS BLANCAS-2,0.4002323248323565,6.839267,-73.791586,0.9668397946084726,0.3092367546626927,18.934880803849587,0.2193976671819021,0.0,0.76041266348205
Valle Medio del Magdalena,AGUAS BLANCAS-3,0.37884788003590475,6.815653,-73.770775,0.9667419768934531,0.30577045830245103,19.6221063009226,0.21909891848992208,0.0,0.76041266348205
Valle Medio del Magdalena,AGUAS BLANCAS-4,0.18638787686783886,6.846886,-73.771642,0.9559820282413349,0.17203480935188514,21.51457014166513,0.222097291483313,0.0,0.76041266348205
Valle Medio del Magdalena,AGUAS BLANCAS-5,0.31353292148476686,6.838322,-73.779533,0.9641987163029524,0.27921721665331706,21.20995513933032,0.22047630864116355,0.0,0.76041266348205
Valle Medio del Magdalena,AGUAS BLANCAS-6,0.25439569143038177,6.847286,-73.782772,0.9608729139922978,0.15184898088268667,15.730991211709798,0.22105408879206995,0.0,0.76041266348205
Valle Medio del Magdalena,AGUAS BLANCAS-7,0.3454775859337874,6.842322,-73.798156,0.964785622593068,0.22979800594962235,16.826564718528058,0.21906737263454054,0.0,0.76041266348205
Valle Medio del Magdalena,AGUAS CLARAS WEST-1,0.6010349015259517,7.300628,-73.520375,0.9557863928112964,0.49937591153026023,20.24844931895515,0.292334056123127,0.0,0.6549706905814257
Valle Medio del Magdalena,AGUAS CLARAS-1,0.2575637573261524,7.292394,-73.516175,0.9580362002567393,0.16803334164870026,16.764532469693684,0.2918494687166149,0.0,0.6549706905814257
Valle Medio del Magdalena,AGUAS CLARAS-2,0.26110143090976295,6.657322,-73.670289,0.9490369704749677,0.16862587902409076,16.705740755862116,0.21495198647083616,0.0,0.76041266348205
Valle Medio del Magdalena,AGUAS CLARAS-3,0.31427213686044675,7.291056,-73.516892,0.9494282413350448,0.2636875081908489,20.317856590316495,0.2916433057942407,0.0,0.6549706905814257
Valle Medio del Magdalena,AGUAS CLARAS-4,0.41438301916679865,7.293717,-73.510108,0.9434613607188702,0.319314198587385,19.020636728380065,0.292543062880336,0.0,0.6549706905814257
Valle Medio del Magdalena,AGUAS CLARAS-5,0.18274460108770263,7.302775,-73.508761,0.9550038510911425,0.17145703318821065,21.762545338224438,0.2936181228659428,0.0,0.6549706905814257
Llanos Orientales,AGUEDA-1,0.44131157928084896,5.0850615,-71.9523027,0.9459068035943516,0.49567680007711407,26.251826380005,0.41284156900922914,0.0,0.4992658862630428
Valle Superior del Magdalena,AIPE SUR-1,0.17968213738845767,3.159247,-75.266758,0.9610685494223363,0.17097312829551808,21.906620347243983,0.09826687497267166,0.0,0.8124552052415706
Valle Superior del Magdalena,AIPE TK-1,0.13786366756428534,3.215886,-75.253092,0.8697068035943516,0.12932249557921965,22.523144765547478,0.10263809807819384,0.0,0.8124552052415706
Valle Superior del Magdalena,AIPE-2,0.11589841068694229,3.235311,-75.242836,0.8752824133504491,0.12609857408676717,24.49946742482734,0.10495193869269569,0.0,0.8124552052415706
Caguan-Putumayo,ALBORADA-1,0.41913511801045455,0.750669,-76.367114,0.9071709884467265,0.5196552128928873,28.775129341391235,0.0519087520212338,0.0,0.440061250452529
Llanos Orientales,ALCARAVAN-1,0.4703521833254132,4.8598111,-72.1859,0.9443417201540436,0.4764721740570011,24.043041331144277,0.38849618611473996,0.0,0.4245916059184438
Valle Medio del Magdalena,ALCON-1,0.029199007339352656,5.092486,-74.585899,0.9459068035943516,0.11073367862068534,37.921894268376676,0.07420087377832373,0.14285714285714285,0.7763035039897679
Caguan-Putumayo,ALEA-1,0.05903162785785945,0.472889,-76.29168,0.9233109114249036,0.07137349397904269,23.935624712025987,0.08632054958323102,0.0,0.3415016582106907
Valle Inferior del Magdalena,ALEJANDRIA-1,0.35704102645335023,9.918889,-74.133734,0.9753499358151476,0.10649066758588777,9.490416323346125,0.5945860183840826,0.0,0.42131598805676584
Llanos Orientales,ALIX-1,0.09403875600612494,6.265939,-69.690706,0.9691874197689343,0.17780008628690847,33.09477691649254,0.7244805982126884,0.0,0.39125408611765033
Llanos Orientales,ALMAGRO-1,0.28280268229579175,3.904858,-72.665992,0.9349512195121952,0.46971009023457405,35.86521551608573,0.34372350728022183,0.14285714285714285,0.4136669741570227
Catatumbo,ALMENDRO-1,0.13812767305559956,7.831394,-72.611031,0.8308731707317072,0.13327554331444508,23.39525343074912,0.43340942743195804,0.0,0.5611714789019455
Cordillera oriental,ALPUJARRA-1,0.20059137230054386,3.524027,-74.829854,0.8240259306803592,0.14299900866358506,19.20520167454084,0.11844343222524786,0.14285714285714285,0.8947795240902618
Valle Superior del Magdalena,ALTAGRACIA-1,0.3043983314852949,3.048417,-75.167933,0.9459068035943516,0.23853885313063844,19.273836950488157,0.10834641997821107,0.0,0.8124552052415706
Valle Superior del Magdalena,ALTAGRACIA-2,0.33592058714821266,3.052383,-75.169686,0.9467871630295248,0.27515989990398376,19.96149978615699,0.10818498801519467,0.0,0.8124552052415706
Valle Superior del Magdalena,ALTAMIRA-1,0.3029727018321981,2.083256,-75.745417,0.8809558408215661,0.24612531457134784,20.272975048094768,0.030275565105419996,0.2857142857142857,0.732347694747528
Valle Medio del Magdalena,AMBALEMA-1,0.2197053698716933,4.757755,-74.869731,0.9193003851091142,0.15393187893246368,18.045368279503254,0.0517499216890635,0.7142857142857142,0.7308222808692968
Valle Superior del Magdalena,AMBARCO-2,0.4593167537884788,3.087994,-75.330806,0.857188703465982,0.3966037857757269,21.36271347636199,0.08702325469862099,0.0,0.8124552052415706
