Latitude,Longitude,Elevation (m),Surface Temperature (°C),Apparent Geothermal Gradient (°C/Km),Distance To Nearest Volcano (m),Number of Volcanoes Nearby,Moho Depth (m),Fault,Strike-slip Fault,Reverse or Thrust Fault,Lineament,Right-lateral Fault,Normal Fault,Active Fault
4.213002,-74.893581,313.944,26.63028,14.71228115313446,37601.741109041046,2,42863.91200598696,16042.943074357112,38240.01557771144,7608.200345899292,32274.80947461523,38166.06780535337,178510.26897270445,12107.518869230333
4.216078,-74.888898,313.3344,26.633328,21.29439360657496,37852.17237888243,2,42855.31133151492,15471.824392598624,37942.3523119613,8075.823612579584,32849.25154060977,38767.18119817494,179076.00664900252,12521.081515873606
4.21472,-74.89122,316.3824,26.618088,23.783404425043347,37716.838356337794,2,42859.26549310717,15751.33061870084,38097.70421506041,7838.753797979623,32567.67419322619,38474.92799714488,178798.2672874109,12309.048726435589
0.606276,-76.564731,275.2344,26.823828,24.15632262212504,74806.59379316661,5,36310.81077438074,35178.98780652011,61605.45678922797,39427.67169158392,110966.61528468084,57996.89258530437,321929.8907609478,38740.8785939084
0.305911,-76.914853,90.5256,27.747372,25.60124487646043,84902.24243924879,5,37832.87961527536,36371.533981501176,52965.25327380317,34306.25513458774,94735.67151438496,87776.16112055644,355936.702854967,36506.15976064833
0.287539,-76.911964,297.4848,26.712576,26.559722016738124,86330.19949502544,5,37704.40031324237,37519.19828298759,54966.65356532681,35746.34988813488,96416.8824072941,89722.14987970534,357941.16552203026,36131.51580888301
0.298083,-76.910869,286.512,26.76744,26.82559178018877,85759.43913988219,5,37746.39375025162,37129.848969941646,53936.39630007086,35163.413787774385,95664.8301715913,88551.23081619797,356768.0189299011,36621.726083426416
0.289872,-76.917192,92.6592,27.736704,26.82819925083637,85705.79891420153,4,37773.86840312627,36882.343323159694,54507.8964964796,35124.75855757922,95826.97395339004,89569.85427382261,357726.95759778505,35658.76719029992
0.310628,-76.916756,95.0976,27.724512,22.70197751231872,84353.95051224722,5,37880.7285697599,35970.693816125495,52401.65236173813,33838.97170494578,94215.2634746621,87300.8964089099,355431.91709080146,36092.27916509533
0.295367,-76.917789,310.5912,26.647044,31.068843043658934,85299.66293195821,4,37809.354316885154,36557.427844316895,53918.86596649471,34709.97154891824,95342.37173303752,88983.30573371217,357125.3495876685,35794.304210994815
0.302839,-76.919417,299.301408,26.70349296,26.55446655800609,84676.72788687368,5,37868.1295187518,36044.6690358891,53084.26735369612,34081.010313335566,94622.27002285673,88202.97598754223,356314.273457168,35909.46337862871
