OBJECTID,SimboloUC,N°CartaColores,Descripcion,Edad,UGIntegradas,Comentarios,GlobalID,Shape__Area,Shape__Length,Basement
34,b1-Sct,,Cuarzoarenitas de grano fino a conglomeráticas con intercalaciones de lodolitas y conglomerados,Berriasiano,Formación Tambor,,b7435afa-604c-48a3-addf-38c700bee386,0.0003702745561895,0.172349205861964,no
35,Q-p,,Depósitos de ceniza y lapilli de composición andesítica,Cuaternario,,,9f219c85-96f8-4ee3-baf3-0e191e9a4d08,0.0001983973609327,0.101383431985651,no
38,Q1-ca,,Abanicos aluviales disectados,Pleistoceno,,,ff1a8805-c08f-482c-825c-759cfe451771,0.0001375296532728,0.0676257452801096,no
39,e6e9-Sct,,"Arenitas de grano fino a conglomeráticas interestratificadas con arcillolitas y limolitas. Ocasionalmente, lentes de hierro oolítico y carbón.",Bartoniano-Chatiano,,,a1e98685-e520-4058-bdf6-ddf01d85a9de,0.0006351484067863,0.138704588260005,no
41,PZ-Mm,,Mármoles con intercalaciones menores de cuarcitas,Paleozoico,Complejo Aleluya,,cfc0188d-8371-41c5-9a58-962f0fc42773,0.0003722978386946,0.193654433893157,yes
42,Q-t,,Terrazas aluviales,Cuaternario,,,4bc9f373-d255-4f3c-b6c0-678c24ddf4fb,0.0016499847115198,0.285793577394048,no
43,Q-t,,Terrazas aluviales,Cuaternario,,,738286f9-87dc-40c2-8888-6eaaff1ce425,0.0009605961801355,0.174371481852258,no
46,J-Hf,,Pórfidos dacíticos y andesíticos,Jurásico,,,2939a36f-f07c-40f8-8ac7-35786b143407,0.0020389653545294,0.527725131317713,yes
47,MP3NP1-Mag2,,"Gneises cuarzofeldespáticos, migmatitas, granulitas, anfibolitas, ortogneises, cuarcitas y mármoles.",Esténico-Tónico,Complejo Icarco,,ebd4f22b-d2b2-461b-9a4f-fe8539fc23ba,0.0002814990093327,0.0756562848433314,yes
48,e8n2-Sm,,"Calizas, arenitas y lodolitas calcáreas.",Rupeliano-Burdigaliano,Formación El Carmen,,64181e56-d152-4a78-b28b-3a1aee223f2d,0.0018772509865812,0.330643045197693,no
