,Longitude,Latitude,S_vel_5km,S_vel_10km,S_vel_15km,S_vel_20km,S_vel_25km,S_vel_30km,S_vel_35km,S_vel_40km
0,-81.0,13.0,3.10854,3.23766,3.25934,3.66787,4.1213,4.1213,4.16252,4.20415
1,-80.5,13.0,3.10649,3.11834,3.59498,4.0805,4.16252,4.16252,4.20415,4.24619
2,-80.0,13.0,3.13772,3.18101,3.62643,4.0805,4.16252,4.16252,4.20415,4.24619
3,-79.5,13.0,3.13772,3.18101,3.62643,4.0805,4.16252,4.16252,4.20415,4.24619
4,-79.0,13.0,3.10649,3.11834,3.59498,4.0805,4.16252,4.16252,4.20415,4.24619
5,-78.5,13.0,3.10649,3.11834,3.59498,4.0805,4.16252,4.16252,4.20415,4.24619
6,-78.0,13.0,3.05794,4.05308,4.18201,4.22382,4.30872,4.30872,4.35181,4.39533
7,-77.5,13.0,3.05794,4.05308,4.18201,4.22382,4.30872,4.30872,4.35181,4.39533
8,-77.0,13.0,3.05794,4.05308,4.18201,4.22382,4.30872,4.30872,4.35181,4.39533
9,-76.5,13.0,3.05794,4.05308,4.18201,4.22382,4.30872,4.30872,4.35181,4.39533
10,-76.0,13.0,3.10649,3.11834,3.59498,4.0805,4.16252,4.16252,4.20415,4.24619
11,-75.5,13.0,3.05794,4.05308,4.18201,4.22382,4.30872,4.30872,4.35181,4.39533
12,-75.0,13.0,3.10649,3.11834,3.59498,4.0805,4.16252,4.16252,4.20415,4.24619
13,-74.5,13.0,3.10649,3.11834,3.59498,4.0805,4.16252,4.16252,4.20415,4.24619
14,-74.0,13.0,3.1001,3.25085,3.26737,3.66905,4.1213,4.1213,4.16252,4.20415
15,-73.5,13.0,3.10854,3.23766,3.25934,3.66787,4.1213,4.1213,4.16252,4.20415
16,-73.0,13.0,3.1001,3.25085,3.26737,3.66905,4.1213,4.1213,4.16252,4.20415
17,-72.5,13.0,3.10854,3.23766,3.25934,3.66787,4.1213,4.1213,4.16252,4.20415
18,-72.0,13.0,3.1001,3.25085,3.26737,3.66905,4.1213,4.1213,4.16252,4.20415
19,-71.5,13.0,3.10649,3.11834,3.59498,4.0805,4.16252,4.16252,4.20415,4.24619
20,-71.0,13.0,3.10649,3.11834,3.59498,4.0805,4.16252,4.16252,4.20415,4.24619
21,-81.0,12.5,3.10854,3.23766,3.25934,3.66787,4.1213,4.1213,4.16252,4.20415
22,-80.5,12.5,3.10649,3.11834,3.59498,4.0805,4.16252,4.16252,4.20415,4.24619
23,-80.0,12.5,3.10649,3.11834,3.59498,4.0805,4.16252,4.16252,4.20415,4.24619
24,-79.5,12.5,3.10649,3.11834,3.59498,4.0805,4.16252,4.16252,4.20415,4.24619
25,-79.0,12.5,3.10649,3.11834,3.59498,4.0805,4.16252,4.16252,4.20415,4.24619
26,-78.5,12.5,3.10649,3.11834,3.59498,4.0805,4.16252,4.16252,4.20415,4.24619
27,-78.0,12.5,3.05794,4.05308,4.18201,4.22382,4.30872,4.30872,4.35181,4.39533
28,-77.5,12.5,3.05794,4.05308,4.18201,4.22382,4.30872,4.30872,4.35181,4.39533
29,-77.0,12.5,3.05794,4.05308,4.18201,4.22382,4.30872,4.30872,4.35181,4.39533
30,-76.5,12.5,3.10649,3.11834,3.59498,4.0805,4.16252,4.16252,4.20415,4.24619
31,-76.0,12.5,3.13772,3.18101,3.62643,4.0805,4.16252,4.16252,4.20415,4.24619
32,-75.5,12.5,3.13772,3.18101,3.62643,4.0805,4.16252,4.16252,4.20415,4.24619
33,-75.0,12.5,3.10649,3.11834,3.59498,4.0805,4.16252,4.16252,4.20415,4.24619
34,-74.5,12.5,3.10649,3.11834,3.59498,4.0805,4.16252,4.16252,4.20415,4.24619
35,-74.0,12.5,3.1001,3.25085,3.26737,3.66905,4.1213,4.1213,4.16252,4.20415
36,-73.5,12.5,3.1001,3.25085,3.26737,3.66905,4.1213,4.1213,4.16252,4.20415
37,-73.0,12.5,3.08279,3.30363,3.31619,3.6054,4.0805,4.0805,4.1213,4.16252
38,-72.5,12.5,3.1288,3.21866,3.23502,3.65282,4.1213,4.1213,4.16252,4.20415
39,-72.0,12.5,3.11373,3.21866,3.23502,3.65282,4.1213,4.1213,4.16252,4.20415
40,-71.5,12.5,3.11373,3.21866,3.23502,3.65282,4.1213,4.1213,4.16252,4.20415
41,-71.0,12.5,3.10649,3.11834,3.59498,4.0805,4.16252,4.16252,4.20415,4.24619
42,-81.0,12.0,3.10854,3.23766,3.25934,3.66787,4.1213,4.1213,4.16252,4.20415
43,-80.5,12.0,3.10649,3.11834,3.59498,4.0805,4.16252,4.16252,4.20415,4.24619
