,Latitude,Longitude,Elevation (m),Surface Temperature (°C),Apparent Geothermal Gradient (°C/Km),Moho Depth (m),Magnetic Anomaly (nT),Fault,Strike-slip Fault,Reverse or Thrust Fault,Lineament,Right-lateral Fault,Normal Fault,Active Fault,Curie Depth (Km),Vertical Gravity Gradient (E),Free Air Anomaly (mGal),Bouguer Anomaly (mGal),Nearest Basement,Nearest Volcano,Volcanic domain,Volcanic weight,Gradient Weight,sample_weight
1,4.216078,-74.888898,313.3344,26.633328,21.29439360657496,42855.31133151492,-43.6825,15471.824392598624,37942.3523119613,8075.823612579584,32849.25154060977,38767.18119817494,179076.00664900252,12521.081515873606,28.0,-54.875,-107.350006,-155.60400265911042,26807.505167689163,37828.18463657381,True,1,0.025810397464672823,0.025810397464672823
2,4.21472,-74.89122,316.3824,26.618088,23.783404425043347,42859.26549310717,-43.6825,15751.33061870084,38097.70421506041,7838.753797979623,32567.67419322619,38474.92799714488,178798.2672874109,12309.048726435589,28.0,-54.875,-107.350006,-155.60400265911042,26613.393422370642,37691.3427062846,True,1,0.025460030083559126,0.025460030083559126
3,0.606276,-76.564731,275.2344,26.823828,24.15632262212504,36310.81077438074,-3.9287,35178.98780652011,61605.45678922797,39427.67169158392,110966.61528468084,57996.89258530437,321929.8907609478,38740.8785939084,20.0,-0.40625,-26.175018,-58.520163507322366,43126.50630556054,74754.72808481466,True,1,0.025460030083559126,0.025460030083559126
4,0.305911,-76.914853,90.5256,27.747372,25.60124487646043,37832.87961527536,-2.2424,36371.533981501176,52965.25327380317,34306.25513458774,94735.67151438496,87776.16112055644,355936.702854967,36506.15976064833,20.0,-3.53125,-27.399994,-55.094943291343206,43893.018161357155,84568.77711257435,False,8,0.030196779781810738,0.2415742382544859
5,0.287539,-76.911964,297.4848,26.712576,26.559722016738124,37704.40031324237,-2.2424,37519.19828298759,54966.65356532681,35746.34988813488,96416.8824072941,89722.14987970534,357941.16552203026,36131.51580888301,20.0,-3.53125,-11.125,-50.95908413940231,45088.51166079947,86366.78517605824,False,8,0.04328205068507562,0.34625640548060493
6,0.298083,-76.910869,286.512,26.76744,26.82559178018877,37746.39375025162,-2.2424,37129.848969941646,53936.39630007086,35163.413787774385,95664.8301715913,88551.23081619797,356768.0189299011,36621.726083426416,20.0,-3.53125,-27.399994,-50.95908413940231,44669.845143416635,85507.05027006878,False,8,0.04328205068507562,0.34625640548060493
7,0.289872,-76.917192,92.6592,27.736704,26.82819925083637,37773.86840312627,-2.2424,36882.343323159694,54507.8964964796,35124.75855757922,95826.97395339004,89569.85427382261,357726.95759778505,35658.76719029992,20.0,-17.09375,-11.125,-53.96660666358438,44452.459469872396,85741.54950698625,False,8,0.04328205068507562,0.34625640548060493
8,0.310628,-76.916756,95.0976,27.724512,22.70197751231872,37880.7285697599,-2.2424,35970.693816125495,52401.65236173813,33838.97170494578,94215.2634746621,87300.8964089099,355431.91709080146,36092.27916509533,20.0,-17.09375,-27.399994,-58.03785760852459,43479.05747820739,84014.77500088318,False,8,0.025460030083559126,0.203680240668473
9,0.295367,-76.917789,310.5912,26.647044,31.068843043658934,37809.354316885154,-2.2424,36557.427844316895,53918.86596649471,34709.97154891824,95342.37173303752,88983.30573371217,357125.3495876685,35794.304210994815,20.0,-17.09375,-27.399994,-53.96660666358438,44114.41515821249,85338.17318048012,False,8,0.08656409915055902,0.6925127932044721
10,0.302839,-76.919417,299.301408,26.70349296,26.55446655800609,37868.1295187518,-2.2424,36044.6690358891,53084.26735369612,34081.010313335566,94622.27002285673,88202.97598754223,356314.273457168,35909.46337862871,20.0,-17.09375,-27.399994,-58.03785760852459,43582.59991932347,84718.64582090231,False,8,0.04328205068507562,0.34625640548060493
