UWI,Nombre del Pozo,"Profundidad Total 
(ft)",Departamento,Cuenca,Lat,Lon,"Coordenada
X","Coordenada 
 Y","Elevación GL
(ft)","Elevacion 
(m)","Temperatura en superficie 
(°C)","BHT
(°F)","BHT
(°C)","Profundidad BHT
(ft)","Profundidad BHT 
(m)",Temperatura de formación (°C),Gradiente Geotérmico Aparente (°C/Km),Año de actualizacion del dato,Distance_To_Nearest_Volcano (m),Radius (m),Number of Volcanoes Nearby,Moho_Depth (m),LAB,RHO_C,RHO_L,RHO_SL,FA,G_zz,G_xx,G_yy
ABAN0004,ABANICO-4,3020,Tolima,Valle Superior del Magdalena,4.213002,-74.893581,909770.865223,957357.370043,1030.0,313.944,26.63028,100.0,37.77777777777778,3020.0,920.4960000000001,40.17287595233566,14.71228115313446,2008.0,37601.741109041046,42601.741109041046,2,42863.91200598696,180982.19697446906,2908.3555729650366,3351.7417566630593,3471.512630215334,52.85011087278732,0.9808964899826751,-0.5718049347275421,-0.4095569339053294
ABAN0005,ABANICO-5,2928,Tolima,Valle Superior del Magdalena,4.216078,-74.888898,910291.24435,957696.956787,1028.0,313.3344,26.633328,110.0,43.333333333333336,2928.0,892.4544000000001,45.637603269519694,21.29439360657496,2008.0,37852.17237888243,42852.17237888243,2,42855.31133151492,181091.85170720753,2908.2225414287414,3351.7277439741088,3471.560021532407,52.81577041847496,0.9807553387833418,-0.5715478717707941,-0.409673736788427
ABAN0006,ABANICO-6,2904,Tolima,Valle Superior del Magdalena,4.21472,-74.89122,910033.263457,957547.084087,1038.0,316.3824,26.618088,113.0,45.0,2842.0,866.2416000000001,47.22026230259663,23.783404425043347,2008.0,37716.838356337794,42716.838356337794,2,42859.265493107174,181040.26025968025,2908.2805216678466,3351.7340702420283,3471.5373954040347,52.833158681558,0.9808443367216704,-0.5716818573740696,-0.409628204911209
ACAE0001,ACAE-1,10578,Putumayo,Caguan-Putumayo,0.606276,-76.564731,723420.331087,558549.884585,903.0,275.2344,26.823828,200.0,93.33333333333334,10573.0,3222.6504,104.6712107607203,24.156322622125042,2008.0,74806.59379316661,79806.59379316661,5,36310.81077438074,67583.91794513963,2835.9806739450314,3282.586489552017,3441.4404458717813,35.82496327621776,0.6355152180787651,-0.35997840968826705,-0.2699945321318099
ACAE0010,ACAE-10,10757,Putumayo,Caguan-Putumayo,0.305911,-76.914853,684390.184013,525315.148844,297.0,90.52560000000001,27.747372,159.0,70.55555555555556,6268.0,1910.4864,76.65820215954733,25.60124487646043,2008.0,84902.24243924879,89902.24243924879,5,37832.87961527536,60788.34925934689,2840.5001696408567,3278.407950780418,3438.8585305287975,27.407059511535017,0.5862027376904472,-0.31834443031725285,-0.2623040503544981
ACAE0011,ACAE-11,10830,Putumayo,Caguan-Putumayo,0.287539,-76.911964,684711.658106,523281.049287,976.0,297.4848,26.712576,217.0,102.77777777777779,10830.0,3300.9840000000004,114.38579342170028,26.559722016738124,2008.0,86330.19949502544,91330.19949502544,5,37704.40031324237,60808.69145922147,2840.826481176595,3278.5387160988626,3438.8178429744103,26.675475841461864,0.5803990078522729,-0.31432972962503275,-0.2606331721507108
ACAE0012,ACAE-12,10855,Putumayo,Caguan-Putumayo,0.298083,-76.910869,684833.945305,524448.40463,940.0,286.512,26.76744,219.0,103.8888888888889,10855.0,3308.6040000000003,115.5227002662997,26.82559178018877,2008.0,85759.43913988219,90759.43913988219,5,37746.39375025162,60835.03728807619,2840.6389204705247,3278.4964983024925,3438.852725953629,27.07081064762058,0.5834653261644299,-0.31648278442839384,-0.26149079991962143
ACAE0002,ACAE-2,10640,Putumayo,Caguan-Putumayo,0.289872,-76.917192,684129.033676,523539.51843,304.0,92.6592,27.736704,218.0,103.33333333333334,10640.0,3243.072,114.74248580080842,26.82819925083637,2008.0,85705.79891420153,90705.79891420153,4,37773.86840312627,60738.12812639017,2840.7855356760147,3278.4632344072857,3438.8026222011335,26.81298439420363,0.5816132378392088,-0.31511218006936526,-0.261028636564283
ACAE0005,ACAE-5,10746,Putumayo,Caguan-Putumayo,0.310628,-76.916756,684178.237832,525837.400207,312.0,95.0976,27.724512,195.0,90.55555555555556,10745.0,3275.076,102.07521370313472,22.701977512318713,2008.0,84353.95051224722,89353.95051224722,5,37880.7285697599,60768.23012913443,2840.4163726020943,3278.3614449967445,3438.864337930907,27.605210015024046,0.5878005964508289,-0.3194372022699353,-0.26277370586237947
ACAE0007,ACAE-7,10730,Putumayo,Caguan-Putumayo,0.295367,-76.917789,684062.62375,524147.842734,1019.0,310.5912,26.647044,157.0,69.44444444444444,5001.0,1524.3048000000001,74.00543058189592,31.068843043658934,2008.0,85299.66293195821,90299.66293195821,4,37809.354316885154,60735.833928975575,2840.6877978266443,3278.4273297083378,3438.8159598742272,27.029675101761544,0.5833248866091272,-0.31629887845985305,-0.26151948763049504
ACAE0008,ACAE-8,10755,Putumayo,Caguan-Putumayo,0.302839,-76.919417,683881.403298,524975.153208,981.0,299.301408,26.70349296,216.0,102.22222222222223,10755.0,3278.1240000000003,113.7523270909972,26.554466558006098,2008.0,84676.72788687368,89676.72788687368,5,37868.1295187518,60722.49283603677,2840.554878986911,3278.3696142023045,3438.830888929156,27.33160754124337,0.5857273585740645,-0.3179559765910931,-0.26221491950336645
