Longitude,Latitude,Elevation (m),Distance To Nearest Volcano (m),Radius (m),Number of Volcanoes Nearby,Moho Depth (m),Magnetic Anomaly (nT)
-75.27094536017434,4.121837370644682,602.3529411764706,32497.771613397075,37497.771613397075,2,44125.85750460603,-44.2309
-75.7270188535443,2.0376922430043525,953.7254901960785,37811.87491398507,42811.87491398507,4,43955.08361776902,-10.9778
-74.75555918119015,6.897459322445654,828.2352941176471,140647.2994162508,145647.2994162508,1,36707.2566706409,3.5249
-70.8774700654138,0.648541595791178,250.98039215686273,573899.7619539949,578899.7619539949,1,32624.3392357917,-42.4339
-74.27426391118695,6.78300777715963,100.3921568627451,147125.97013998096,152125.97013998096,1,38517.94215877002,25.9716
-69.7472210893118,-0.9110138622857953,150.58823529411765,747623.9384082962,752623.9384082962,2,32868.47895627834,-52.0201
-75.96730023124194,4.4019153928929775,1054.1176470588234,65107.04925995726,70107.04925995726,2,31742.38740131025,-18.0915
-71.42425244555349,-2.1617975184614138,125.49019607843137,645538.8181571894,650538.8181571894,1,32562.92245140368,1.0889
-77.04663177879597,7.388825178885655,0.0,300930.7193422117,305930.7193422117,3,31155.17855562041,64.6591
-77.08992694878717,8.00112271672157,0.0,351699.51094471035,356699.51094471035,2,31152.140870182546,-23.7453
-71.78371218185788,2.11911807426534,200.7843137254902,454025.2070652146,459025.2070652146,2,33157.608243895214,98.7492
-75.74362226401408,0.7333362453196175,225.88235294117646,68691.04801363318,73691.04801363318,1,33070.79314892451,21.7846
-75.73614398031263,4.772890731709518,1280.0,28594.115884388997,33594.115884389,1,36930.61805485239,-9.3198
-75.50177785754775,3.920683085800679,1982.7450980392157,64204.662794403266,69204.66279440327,3,44060.90769426861,-30.3517
-73.95376622413673,4.863323532570504,2560.0,141130.32357001532,146130.32357001532,3,48345.1698914591,-1.9965
-71.45535049868151,6.018963302821927,150.58823529411765,389861.3898604364,394861.3898604364,1,36639.88467492493,-45.3583
-70.0715733928137,3.976503192258562,150.58823529411765,568123.2395644056,573123.2395644056,3,34212.90322496665,-44.4426
-69.13655641488782,3.777250855510621,100.3921568627451,673507.750024656,678507.750024656,3,34945.4132663426,-8.9067
-73.55897094533795,4.12204849977827,351.37254901960785,182037.67213728008,187037.67213728008,2,36967.385646024246,-126.9722
-69.64476431161047,3.766975698696556,125.49019607843137,617599.2589099222,622599.2589099222,2,35188.390738013346,-39.8613
-73.49327136989382,7.936608457963054,75.29411764705883,301542.9214610376,306542.9214610376,1,38612.70572817952,24.5686
-73.07194795166646,9.258057166355336,200.7843137254902,452070.23738434067,457070.23738434067,1,35123.31912552255,-2.8496
-70.28387394879189,5.123639162418398,100.3921568627451,520954.13792758767,525954.1379275876,1,33770.379397854456,-40.9035
-69.91729626851156,1.6879481306545694,175.68627450980392,657174.1221870688,662174.1221870688,2,35031.46574095786,-40.1254
