Latitude,Longitude,Predicted Geothermal Gradient (°C/Km)
4.216078,-74.888898,23.925331
4.21472,-74.89122,24.067503
0.606276,-76.564731,25.490913
0.305911,-76.914853,24.426073
0.287539,-76.911964,27.258207
0.298083,-76.910869,26.978674
0.289872,-76.917192,26.105927
0.310628,-76.916756,24.116756
0.295367,-76.917789,27.79769
0.302839,-76.919417,26.665556
0.302231,-76.918911,26.601421
5.830164,-74.321856,24.219025
8.073272,-73.606028,19.333727
6.175794,-71.091822,24.27103
4.8018083,-72.3174583,25.321507
6.795316,-73.792668,20.901491
6.839267,-73.791586,18.639519
6.815653,-73.770775,20.47525
6.846886,-73.771642,20.687756
6.838322,-73.779533,19.851725
6.847286,-73.782772,17.998272
6.842322,-73.798156,18.211327
7.300628,-73.520375,19.516819
7.292394,-73.516175,18.774555
6.657322,-73.670289,18.685371
7.291056,-73.516892,20.589958
7.293717,-73.510108,19.53145
7.302775,-73.508761,18.430887
5.0850615,-71.9523027,26.149702
3.159247,-75.266758,22.601107
3.215886,-75.253092,25.722574
3.235311,-75.242836,26.044264
0.750669,-76.367114,26.473799
4.8598111,-72.1859,25.945347
5.092486,-74.585899,36.13725
0.472889,-76.29168,26.604336
6.265939,-69.690706,30.993225
3.904858,-72.665992,35.162197
7.831394,-72.611031,24.993832
3.524027,-74.829854,22.043596
3.048417,-75.167933,20.113575
3.052383,-75.169686,20.558691
2.083256,-75.745417,22.236208
4.757755,-74.869731,24.25136
3.087994,-75.330806,24.536348
4.624767,-74.868934,22.14432
4.620316,-74.86508,22.775
4.61589,-74.869545,22.773903
3.729193,-75.396478,23.140621
4.136439,-73.706975,22.476952
3.206406,-75.106661,29.19147
3.162639,-75.139394,27.820713
3.171603,-75.140242,28.162954
3.172628,-75.133089,29.457619
3.176919,-75.135431,29.541048
3.169467,-75.128856,29.069859
3.171661,-75.125758,29.427546
3.164297,-75.141503,39.336037
3.167789,-75.134522,32.07702
3.169369,-75.130675,31.29229
3.169686,-75.136233,33.74912
3.166388,-75.133172,28.361177
3.165531,-75.136706,32.646973
3.163719,-75.135822,31.311075
3.168153,-75.132094,31.554882
3.174394,-75.128053,31.485046
3.168644,-75.137914,33.358814
3.159864,-75.147556,26.671919
3.178786,-75.124008,32.370277
5.760086,-74.690311,25.514967
3.602101,-74.882734,39.08485
8.091122,-73.580497,25.551931
8.083908,-73.581719,21.216484
8.077933,-73.584653,20.140339
8.074036,-73.58365,19.384861
8.074861,-73.587308,20.101015
8.069947,-73.586944,19.404072
8.0791,-73.588064,20.135843
4.076544,-73.37905,26.069382
4.080986,-73.386289,27.228657
4.073333,-73.387817,26.023483
4.079911,-73.384831,27.105125
4.069986,-73.394544,26.526806
4.0738,-73.3967,26.75798
4.067739,-73.397969,26.86388
4.0892,-73.3776,27.26117
4.067669,-73.391008,26.112253
4.0702167,-73.3882583,25.486984
4.08195,-73.404619,25.855501
4.086089,-73.382581,26.662815
4.078417,-73.391089,26.358278
4.089775,-73.387667,27.196373
4.07665,-73.387022,26.854397
4.077542,-73.382447,26.250639
9.890686,-74.634439,21.49192
9.916364,-74.654719,22.2308
6.916601,-71.177426,26.430988
3.445934,-73.94681,25.376362
6.954928,-71.856931,18.30758
6.958485,-71.843839,17.729445
6.984136,-71.820089,18.874138
6.982347,-71.835658,17.744398
5.251782,-71.384182,33.52299
5.2573362,-71.38093,32.67845
5.2569938,-71.3812239,32.947014
6.912975,-71.423997,24.338484
8.873997,-76.403694,23.65697
8.106681,-73.562017,22.373955
6.488983,-74.386503,38.65758
6.489619,-74.386732,25.713207
7.185358,-73.752306,19.405035
3.189553,-75.267731,25.328918
8.646641,-75.384139,22.83605
8.648055,-75.389889,20.639112
